control_key,status,observed,source,line,tag,id,text,onclick,panel
#cronFormScheduleMonthDay,NOT_INTERACTED,False,static/panels.js,1645,SELECT,cronFormScheduleMonthDay,,,
#cronFormSchedulePreset,INTERACTED_IN_PASSING_TEST,False,static/panels.js,1627,SELECT,cronFormSchedulePreset,,,
#cronFormScheduleTime,INTERACTED_IN_PASSING_TEST,False,static/panels.js,1651,INPUT,cronFormScheduleTime,,,
#cronFormScheduleWeekday,NOT_INTERACTED,False,static/panels.js,1633,SELECT,cronFormScheduleWeekday,,,
#cronFormScript,NOT_INTERACTED,False,static/panels.js,1603,INPUT,cronFormScript,,,
#cronFormSkillSearch,NOT_INTERACTED,False,static/panels.js,1610,INPUT,cronFormSkillSearch,,,
#cronFormToastNotifications,INTERACTED_IN_PASSING_TEST,False,static/panels.js,1692,INPUT,cronFormToastNotifications,,,
#cronRefreshBtn,NOT_INTERACTED,True,static/index.html,220,BUTTON,cronRefreshBtn,,loadCrons(true),
#ctxCompressBtn,NOT_INTERACTED,False,static/index.html,766,BUTTON,ctxCompressBtn,,,
#ctxIndicator,NOT_INTERACTED,True,static/index.html,750,BUTTON,ctxIndicator,,,
#dashboardMobileBtn,NOT_INTERACTED,False,static/index.html,189,BUTTON,dashboardMobileBtn,,openHermesDashboard(event),
#dashboardRailBtn,NOT_INTERACTED,False,static/index.html,164,BUTTON,dashboardRailBtn,,openHermesDashboard(event),
#extensionsCopyDiagnosticsBtn,NOT_INTERACTED,False,static/index.html,1681,BUTTON,extensionsCopyDiagnosticsBtn,,copyExtensionsDiagnostics(),
#externalNotesQuery,NOT_INTERACTED,False,static/panels.js,5391,INPUT,externalNotesQuery,,,
#externalNotesSource,NOT_INTERACTED,False,static/panels.js,5390,SELECT,externalNotesSource,,,
#fileInput,INTERACTED_IN_PASSING_TEST,True,static/index.html,640,INPUT,fileInput,,,
#govGroupCliApprovalInput,INTERACTED_IN_PASSING_TEST,True,browser action,,,,,,
#govGroupCliCommandsInput,INTERACTED_IN_PASSING_TEST,True,browser action,,,,,,
#govGroupDesc,INTERACTED_IN_PASSING_TEST,False,static/governance.js,1009,INPUT,govGroupDesc,,,
#govGroupMcpServersInput,INTERACTED_IN_PASSING_TEST,True,browser action,,,,,,
#govGroupName,INTERACTED_IN_PASSING_TEST,False,static/governance.js,1007,INPUT,govGroupName,,,
#govGroupRoles,INTERACTED_IN_PASSING_TEST,False,static/governance.js,1013,INPUT,govGroupRoles,,,
#govGroupSkillsLoadInput,INTERACTED_IN_PASSING_TEST,True,browser action,,,,,,
#govGroupSkillsManageInput,INTERACTED_IN_PASSING_TEST,True,browser action,,,,,,
#govGroupSkillsViewInput,INTERACTED_IN_PASSING_TEST,True,browser action,,,,,,
#govGroupSso,INTERACTED_IN_PASSING_TEST,False,static/governance.js,1011,INPUT,govGroupSso,,,
#govPreviewEmail,INTERACTED_IN_PASSING_TEST,True,static/index.html,1024,INPUT,govPreviewEmail,,,
#govPreviewGroups,NOT_INTERACTED,True,static/index.html,1026,INPUT,govPreviewGroups,,,
#govUserAccessLevel,INTERACTED_IN_PASSING_TEST,True,static/governance.js,323,SELECT,govUserAccessLevel,,,
#govUserAccessMode,INTERACTED_IN_PASSING_TEST,True,static/governance.js,328,SELECT,govUserAccessMode,,,
#govUserApprovalMode,INTERACTED_IN_PASSING_TEST,True,static/governance.js,334,SELECT,govUserApprovalMode,,,
#govUserApprovalPrompt,INTERACTED_IN_PASSING_TEST,True,static/governance.js,340,TEXTAREA,govUserApprovalPrompt,,,
#govUserCliApprovalBox,NOT_INTERACTED,True,browser,,DIV,govUserCliApprovalBox,,(function(i){if(i)i.focus();})($('govUserCliApprovalInput')),
#govUserCliApprovalInput,NOT_INTERACTED,True,browser,,INPUT,govUserCliApprovalInput,,,
#govUserCliCommandsBox,NOT_INTERACTED,True,browser,,DIV,govUserCliCommandsBox,,(function(i){if(i)i.focus();})($('govUserCliCommandsInput')),
#govUserCliCommandsInput,NOT_INTERACTED,True,browser,,INPUT,govUserCliCommandsInput,,,
#govUserDenyCliBox,NOT_INTERACTED,True,browser,,DIV,govUserDenyCliBox,,(function(i){if(i)i.focus();})($('govUserDenyCliInput')),
#govUserDenyCliInput,NOT_INTERACTED,True,browser,,INPUT,govUserDenyCliInput,,,
#govUserDenyEnvironmentBox,NOT_INTERACTED,True,browser,,DIV,govUserDenyEnvironmentBox,,(function(i){if(i)i.focus();})($('govUserDenyEnvironmentInput')),
#govUserDenyEnvironmentInput,INTERACTED_IN_PASSING_TEST,True,browser,,INPUT,govUserDenyEnvironmentInput,,,
#govUserDenyFilesReadBox,NOT_INTERACTED,True,browser,,DIV,govUserDenyFilesReadBox,,(function(i){if(i)i.focus();})($('govUserDenyFilesReadInput')),
#govUserDenyFilesReadInput,INTERACTED_IN_PASSING_TEST,True,browser,,INPUT,govUserDenyFilesReadInput,,,
#govUserDenyFilesWriteBox,NOT_INTERACTED,True,browser,,DIV,govUserDenyFilesWriteBox,,(function(i){if(i)i.focus();})($('govUserDenyFilesWriteInput')),
#govUserDenyFilesWriteInput,INTERACTED_IN_PASSING_TEST,True,browser,,INPUT,govUserDenyFilesWriteInput,,,
#govUserDenyMcpBox,NOT_INTERACTED,True,browser,,DIV,govUserDenyMcpBox,,(function(i){if(i)i.focus();})($('govUserDenyMcpInput')),
